file,R_idx,r_idx,R,r
torus_R0_r0.glb,0,0,5.0,1.0
torus_R0_r1.glb,0,1,5.0,2.0
torus_R0_r2.glb,0,2,5.0,3.0
torus_R0_r3.glb,0,3,5.0,4.0
torus_R0_r4.glb,0,4,5.0,5.0
torus_R1_r0.glb,1,0,7.5,1.0
torus_R1_r1.glb,1,1,7.5,2.0
torus_R1_r2.glb,1,2,7.5,3.0
torus_R1_r3.glb,1,3,7.5,4.0
torus_R1_r4.glb,1,4,7.5,5.0
torus_R2_r0.glb,2,0,10.0,1.0
torus_R2_r1.glb,2,1,10.0,2.0
torus_R2_r2.glb,2,2,10.0,3.0
torus_R2_r3.glb,2,3,10.0,4.0
torus_R2_r4.glb,2,4,10.0,5.0
torus_R3_r0.glb,3,0,12.5,1.0
torus_R3_r1.glb,3,1,12.5,2.0
torus_R3_r2.glb,3,2,12.5,3.0
torus_R3_r3.glb,3,3,12.5,4.0
torus_R3_r4.glb,3,4,12.5,5.0
torus_R4_r0.glb,4,0,15.0,1.0
torus_R4_r1.glb,4,1,15.0,2.0
torus_R4_r2.glb,4,2,15.0,3.0
torus_R4_r3.glb,4,3,15.0,4.0
torus_R4_r4.glb,4,4,15.0,5.0
