file,R_idx,r_idx,R_major,r_minor
torus_R0_r0.glb,0,0,5.0,1.0
torus_R0_r1.glb,0,1,5.0,1.44
torus_R0_r2.glb,0,2,5.0,1.89
torus_R0_r3.glb,0,3,5.0,2.33
torus_R0_r4.glb,0,4,5.0,2.78
torus_R0_r5.glb,0,5,5.0,3.22
torus_R0_r6.glb,0,6,5.0,3.67
torus_R0_r7.glb,0,7,5.0,4.11
torus_R0_r8.glb,0,8,5.0,4.56
torus_R0_r9.glb,0,9,5.0,5.0
torus_R1_r0.glb,1,0,6.11,1.0
torus_R1_r1.glb,1,1,6.11,1.44
torus_R1_r2.glb,1,2,6.11,1.89
torus_R1_r3.glb,1,3,6.11,2.33
torus_R1_r4.glb,1,4,6.11,2.78
torus_R1_r5.glb,1,5,6.11,3.22
torus_R1_r6.glb,1,6,6.11,3.67
torus_R1_r7.glb,1,7,6.11,4.11
torus_R1_r8.glb,1,8,6.11,4.56
torus_R1_r9.glb,1,9,6.11,5.0
torus_R2_r0.glb,2,0,7.22,1.0
torus_R2_r1.glb,2,1,7.22,1.44
torus_R2_r2.glb,2,2,7.22,1.89
torus_R2_r3.glb,2,3,7.22,2.33
torus_R2_r4.glb,2,4,7.22,2.78
torus_R2_r5.glb,2,5,7.22,3.22
torus_R2_r6.glb,2,6,7.22,3.67
torus_R2_r7.glb,2,7,7.22,4.11
torus_R2_r8.glb,2,8,7.22,4.56
torus_R2_r9.glb,2,9,7.22,5.0
torus_R3_r0.glb,3,0,8.33,1.0
torus_R3_r1.glb,3,1,8.33,1.44
torus_R3_r2.glb,3,2,8.33,1.89
torus_R3_r3.glb,3,3,8.33,2.33
torus_R3_r4.glb,3,4,8.33,2.78
torus_R3_r5.glb,3,5,8.33,3.22
torus_R3_r6.glb,3,6,8.33,3.67
torus_R3_r7.glb,3,7,8.33,4.11
torus_R3_r8.glb,3,8,8.33,4.56
torus_R3_r9.glb,3,9,8.33,5.0
torus_R4_r0.glb,4,0,9.44,1.0
torus_R4_r1.glb,4,1,9.44,1.44
torus_R4_r2.glb,4,2,9.44,1.89
torus_R4_r3.glb,4,3,9.44,2.33
torus_R4_r4.glb,4,4,9.44,2.78
torus_R4_r5.glb,4,5,9.44,3.22
torus_R4_r6.glb,4,6,9.44,3.67
torus_R4_r7.glb,4,7,9.44,4.11
torus_R4_r8.glb,4,8,9.44,4.56
torus_R4_r9.glb,4,9,9.44,5.0
torus_R5_r0.glb,5,0,10.56,1.0
torus_R5_r1.glb,5,1,10.56,1.44
torus_R5_r2.glb,5,2,10.56,1.89
torus_R5_r3.glb,5,3,10.56,2.33
torus_R5_r4.glb,5,4,10.56,2.78
torus_R5_r5.glb,5,5,10.56,3.22
torus_R5_r6.glb,5,6,10.56,3.67
torus_R5_r7.glb,5,7,10.56,4.11
torus_R5_r8.glb,5,8,10.56,4.56
torus_R5_r9.glb,5,9,10.56,5.0
torus_R6_r0.glb,6,0,11.67,1.0
torus_R6_r1.glb,6,1,11.67,1.44
torus_R6_r2.glb,6,2,11.67,1.89
torus_R6_r3.glb,6,3,11.67,2.33
torus_R6_r4.glb,6,4,11.67,2.78
torus_R6_r5.glb,6,5,11.67,3.22
torus_R6_r6.glb,6,6,11.67,3.67
torus_R6_r7.glb,6,7,11.67,4.11
torus_R6_r8.glb,6,8,11.67,4.56
torus_R6_r9.glb,6,9,11.67,5.0
torus_R7_r0.glb,7,0,12.78,1.0
torus_R7_r1.glb,7,1,12.78,1.44
torus_R7_r2.glb,7,2,12.78,1.89
torus_R7_r3.glb,7,3,12.78,2.33
torus_R7_r4.glb,7,4,12.78,2.78
torus_R7_r5.glb,7,5,12.78,3.22
torus_R7_r6.glb,7,6,12.78,3.67
torus_R7_r7.glb,7,7,12.78,4.11
torus_R7_r8.glb,7,8,12.78,4.56
torus_R7_r9.glb,7,9,12.78,5.0
torus_R8_r0.glb,8,0,13.89,1.0
torus_R8_r1.glb,8,1,13.89,1.44
torus_R8_r2.glb,8,2,13.89,1.89
torus_R8_r3.glb,8,3,13.89,2.33
torus_R8_r4.glb,8,4,13.89,2.78
torus_R8_r5.glb,8,5,13.89,3.22
torus_R8_r6.glb,8,6,13.89,3.67
torus_R8_r7.glb,8,7,13.89,4.11
torus_R8_r8.glb,8,8,13.89,4.56
torus_R8_r9.glb,8,9,13.89,5.0
torus_R9_r0.glb,9,0,15.0,1.0
torus_R9_r1.glb,9,1,15.0,1.44
torus_R9_r2.glb,9,2,15.0,1.89
torus_R9_r3.glb,9,3,15.0,2.33
torus_R9_r4.glb,9,4,15.0,2.78
torus_R9_r5.glb,9,5,15.0,3.22
torus_R9_r6.glb,9,6,15.0,3.67
torus_R9_r7.glb,9,7,15.0,4.11
torus_R9_r8.glb,9,8,15.0,4.56
torus_R9_r9.glb,9,9,15.0,5.0
