file,R_idx,r_idx,R_major,r_minor
texture_torus_R0_r0.glb,0,0,5.0,1.0
texture_torus_R0_r1.glb,0,1,5.0,1.13
texture_torus_R0_r2.glb,0,2,5.0,1.27
texture_torus_R0_r3.glb,0,3,5.0,1.4
texture_torus_R0_r4.glb,0,4,5.0,1.53
texture_torus_R0_r5.glb,0,5,5.0,1.67
texture_torus_R0_r6.glb,0,6,5.0,1.8
texture_torus_R0_r7.glb,0,7,5.0,1.93
texture_torus_R0_r8.glb,0,8,5.0,2.07
texture_torus_R0_r9.glb,0,9,5.0,2.2
texture_torus_R0_r10.glb,0,10,5.0,2.33
texture_torus_R0_r11.glb,0,11,5.0,2.47
texture_torus_R0_r12.glb,0,12,5.0,2.6
texture_torus_R0_r13.glb,0,13,5.0,2.73
texture_torus_R0_r14.glb,0,14,5.0,2.87
texture_torus_R0_r15.glb,0,15,5.0,3.0
texture_torus_R0_r16.glb,0,16,5.0,3.13
texture_torus_R0_r17.glb,0,17,5.0,3.27
texture_torus_R0_r18.glb,0,18,5.0,3.4
texture_torus_R0_r19.glb,0,19,5.0,3.53
texture_torus_R0_r20.glb,0,20,5.0,3.67
texture_torus_R0_r21.glb,0,21,5.0,3.8
texture_torus_R0_r22.glb,0,22,5.0,3.93
texture_torus_R0_r23.glb,0,23,5.0,4.07
texture_torus_R0_r24.glb,0,24,5.0,4.2
texture_torus_R0_r25.glb,0,25,5.0,4.33
texture_torus_R0_r26.glb,0,26,5.0,4.47
texture_torus_R0_r27.glb,0,27,5.0,4.6
texture_torus_R0_r28.glb,0,28,5.0,4.73
texture_torus_R0_r29.glb,0,29,5.0,4.87
texture_torus_R0_r30.glb,0,30,5.0,5.0
texture_torus_R1_r0.glb,1,0,5.33,1.0
texture_torus_R1_r1.glb,1,1,5.33,1.13
texture_torus_R1_r2.glb,1,2,5.33,1.27
texture_torus_R1_r3.glb,1,3,5.33,1.4
texture_torus_R1_r4.glb,1,4,5.33,1.53
texture_torus_R1_r5.glb,1,5,5.33,1.67
texture_torus_R1_r6.glb,1,6,5.33,1.8
texture_torus_R1_r7.glb,1,7,5.33,1.93
texture_torus_R1_r8.glb,1,8,5.33,2.07
texture_torus_R1_r9.glb,1,9,5.33,2.2
texture_torus_R1_r10.glb,1,10,5.33,2.33
texture_torus_R1_r11.glb,1,11,5.33,2.47
texture_torus_R1_r12.glb,1,12,5.33,2.6
texture_torus_R1_r13.glb,1,13,5.33,2.73
